frame_index,t_rel_s,interval_s,size_bytes,width,height,file
307,40.641,0.125,5097,324,244,frame_00307.jpg
308,40.781,0.14,5088,324,244,frame_00308.jpg
309,40.906,0.125,5115,324,244,frame_00309.jpg
310,41.047,0.141,5086,324,244,frame_00310.jpg
311,41.188,0.141,5073,324,244,frame_00311.jpg
312,41.297,0.109,5044,324,244,frame_00312.jpg
313,41.422,0.125,5096,324,244,frame_00313.jpg
314,41.594,0.172,5128,324,244,frame_00314.jpg
315,41.688,0.094,5170,324,244,frame_00315.jpg
316,41.875,0.187,5130,324,244,frame_00316.jpg
317,41.969,0.094,5081,324,244,frame_00317.jpg
318,42.109,0.14,5086,324,244,frame_00318.jpg
319,42.234,0.125,5105,324,244,frame_00319.jpg
320,42.359,0.125,5093,324,244,frame_00320.jpg
321,42.484,0.125,5068,324,244,frame_00321.jpg
322,42.625,0.141,5080,324,244,frame_00322.jpg
323,42.75,0.125,5094,324,244,frame_00323.jpg
324,42.875,0.125,5089,324,244,frame_00324.jpg
325,43.031,0.156,5085,324,244,frame_00325.jpg
326,43.141,0.11,5098,324,244,frame_00326.jpg
327,43.328,0.187,5153,324,244,frame_00327.jpg
328,43.422,0.094,5086,324,244,frame_00328.jpg
329,43.547,0.125,5085,324,244,frame_00329.jpg
330,43.719,0.172,5076,324,244,frame_00330.jpg
331,43.813,0.094,5027,324,244,frame_00331.jpg
332,43.953,0.14,5218,324,244,frame_00332.jpg
333,44.078,0.125,5184,324,244,frame_00333.jpg
334,44.203,0.125,5094,324,244,frame_00334.jpg
335,44.328,0.125,5057,324,244,frame_00335.jpg
336,44.469,0.141,5048,324,244,frame_00336.jpg
337,44.594,0.125,5130,324,244,frame_00337.jpg
338,44.734,0.14,5090,324,244,frame_00338.jpg
339,44.875,0.141,5128,324,244,frame_00339.jpg
340,44.984,0.109,5097,324,244,frame_00340.jpg
341,45.125,0.141,5078,324,244,frame_00341.jpg
342,45.266,0.141,5082,324,244,frame_00342.jpg
343,45.391,0.125,5063,324,244,frame_00343.jpg
344,45.516,0.125,5062,324,244,frame_00344.jpg
345,45.656,0.14,5099,324,244,frame_00345.jpg
346,45.797,0.141,5065,324,244,frame_00346.jpg
347,45.922,0.125,5092,324,244,frame_00347.jpg
348,46.047,0.125,5099,324,244,frame_00348.jpg
349,46.188,0.141,5106,324,244,frame_00349.jpg
350,46.313,0.125,5093,324,244,frame_00350.jpg
351,46.438,0.125,5073,324,244,frame_00351.jpg
352,46.578,0.14,5049,324,244,frame_00352.jpg
353,46.703,0.125,5102,324,244,frame_00353.jpg
354,46.844,0.141,5102,324,244,frame_00354.jpg
355,46.984,0.14,5069,324,244,frame_00355.jpg
356,47.125,0.141,5083,324,244,frame_00356.jpg
357,47.234,0.109,5115,324,244,frame_00357.jpg
358,47.375,0.141,5110,324,244,frame_00358.jpg
359,47.5,0.125,5083,324,244,frame_00359.jpg
360,47.641,0.141,5051,324,244,frame_00360.jpg
361,47.766,0.125,5151,324,244,frame_00361.jpg
362,47.891,0.125,5113,324,244,frame_00362.jpg
363,48.031,0.14,5064,324,244,frame_00363.jpg
364,48.156,0.125,5074,324,244,frame_00364.jpg
365,48.328,0.172,5022,324,244,frame_00365.jpg
366,48.438,0.11,5041,324,244,frame_00366.jpg
367,48.547,0.109,5023,324,244,frame_00367.jpg
368,48.688,0.141,5035,324,244,frame_00368.jpg
369,48.859,0.171,4994,324,244,frame_00369.jpg
370,48.969,0.11,4983,324,244,frame_00370.jpg
371,49.125,0.156,4986,324,244,frame_00371.jpg
372,49.219,0.094,5047,324,244,frame_00372.jpg
373,49.359,0.14,5084,324,244,frame_00373.jpg
374,49.484,0.125,4998,324,244,frame_00374.jpg
375,49.656,0.172,5072,324,244,frame_00375.jpg
376,49.797,0.141,5083,324,244,frame_00376.jpg
377,49.891,0.094,5080,324,244,frame_00377.jpg
378,50.0,0.109,5062,324,244,frame_00378.jpg
379,50.125,0.125,5087,324,244,frame_00379.jpg
380,50.266,0.141,5058,324,244,frame_00380.jpg
381,50.406,0.14,5040,324,244,frame_00381.jpg
382,50.531,0.125,5030,324,244,frame_00382.jpg
383,50.672,0.141,5060,324,244,frame_00383.jpg
384,50.828,0.156,5085,324,244,frame_00384.jpg
385,50.922,0.094,5092,324,244,frame_00385.jpg
386,51.063,0.141,5062,324,244,frame_00386.jpg
387,51.188,0.125,5037,324,244,frame_00387.jpg
388,51.313,0.125,5068,324,244,frame_00388.jpg
389,51.453,0.14,5061,324,244,frame_00389.jpg
390,51.594,0.141,5077,324,244,frame_00390.jpg
391,51.719,0.125,5065,324,244,frame_00391.jpg
392,51.859,0.14,5105,324,244,frame_00392.jpg
393,52.031,0.172,5046,324,244,frame_00393.jpg
394,52.141,0.11,5066,324,244,frame_00394.jpg
395,52.25,0.109,5061,324,244,frame_00395.jpg
396,52.391,0.141,5068,324,244,frame_00396.jpg
397,52.516,0.125,5087,324,244,frame_00397.jpg
398,52.672,0.156,5055,324,244,frame_00398.jpg
399,52.781,0.109,5121,324,244,frame_00399.jpg
400,52.906,0.125,5068,324,244,frame_00400.jpg
401,53.047,0.141,5052,324,244,frame_00401.jpg
402,53.172,0.125,5060,324,244,frame_00402.jpg
403,53.297,0.125,5058,324,244,frame_00403.jpg
404,53.438,0.141,5047,324,244,frame_00404.jpg
405,53.578,0.14,5066,324,244,frame_00405.jpg
406,53.703,0.125,5106,324,244,frame_00406.jpg
407,53.844,0.141,5026,324,244,frame_00407.jpg
408,53.969,0.125,5025,324,244,frame_00408.jpg
409,54.094,0.125,5102,324,244,frame_00409.jpg
410,54.266,0.172,5065,324,244,frame_00410.jpg
411,54.359,0.093,5035,324,244,frame_00411.jpg
412,54.484,0.125,5042,324,244,frame_00412.jpg
413,54.625,0.141,5028,324,244,frame_00413.jpg
414,54.766,0.141,5089,324,244,frame_00414.jpg
415,54.891,0.125,5123,324,244,frame_00415.jpg
416,55.016,0.125,5094,324,244,frame_00416.jpg
